Url,Season_End_Year,Squad,Player,Comp,Pos,Age,Min_Playing,G_minus_PK_Per,npxG_Per,xAG_Per,Cmp_percent_Total,CrsPA,Final_Third,KP,Prog,Blocks_Blocks,Clr,Err,Int,Mid 3rd_Tackles,Tkl+Int,TklW_Tackles,Att Pen_Touches,Final_Third_Carries,Mis_Carries,Prog_Carries,Prog_Receiving,Succ_Dribbles,Recov,Won_Aerial,Won_percent_Aerial,GCA90_GCA,SCA90_SCA,prim_pos,season_total_min,n_clubs,role,tier,role_source,market_value_eur
https://fbref.com/en/players/86574238/Kouadio-Kone,2022,M'Gladbach,Kouadio Koné,Bundesliga,MF,20.0,2183.0,0.08,0.08,0.03,88.0,2.0,86.0,11.0,110.0,36.0,21.0,0.0,67.0,36.0,135.0,45.0,29.0,22.0,45.0,114.0,39.0,47.0,244.0,30.0,55.6,0.08,1.61,MF,2183.0,1,central_mid,C,fbref,
https://fbref.com/en/players/86574238/Kouadio-Kone,2023,M'Gladbach,Kouadio Koné,Bundesliga,MF,21.0,954.0,0.0,0.02,0.03,86.3,0.0,51.0,6.0,48.0,15.0,3.0,0.0,7.0,8.0,28.0,11.0,4.0,,,,10.0,20.0,76.0,9.0,64.3,0.19,2.08,MF,954.0,1,central_mid,C,fbref,
https://fbref.com/en/players/8bc8829a/Lucien-Agoume,2021,Spezia,Lucien Agoume,Serie A,MF,18.0,800.0,0.0,0.01,0.01,89.7,0.0,39.0,2.0,36.0,18.0,14.0,1.0,20.0,5.0,34.0,11.0,1.0,4.0,2.0,17.0,8.0,4.0,104.0,10.0,62.5,0.23,0.68,MF,800.0,1,defensive_mid,C,tm,7000000.0
https://fbref.com/en/players/8bc8829a/Lucien-Agoume,2022,Brest,Lucien Agoume,Ligue 1,MF,19.0,1868.0,0.0,0.06,0.05,84.4,0.0,68.0,11.0,78.0,38.0,32.0,0.0,56.0,26.0,113.0,42.0,35.0,16.0,9.0,53.0,30.0,20.0,206.0,31.0,50.0,0.05,1.49,MF,1868.0,1,defensive_mid,C,tm,7000000.0
https://fbref.com/en/players/8bc8829a/Lucien-Agoume,2023,Troyes,Lucien Agoume,Ligue 1,MF,20.0,106.0,0.0,0.0,0.36,82.8,1.0,6.0,2.0,6.0,2.0,1.0,0.0,2.0,2.0,6.0,2.0,0.0,,,,0.0,1.0,7.0,2.0,100.0,0.0,2.55,MF,106.0,1,defensive_mid,C,tm,7000000.0
https://fbref.com/en/players/8f5e92a6/Rodrygo,2021,Real Madrid,Rodrygo,La Liga,"FW,MF",19.0,983.0,0.09,0.18,0.34,81.0,2.0,19.0,17.0,36.0,20.0,5.0,0.0,7.0,6.0,22.0,7.0,61.0,34.0,26.0,95.0,77.0,19.0,48.0,9.0,39.1,0.82,3.66,FW,983.0,1,wide_attacker,C,tm,110000000.0
https://fbref.com/en/players/8f5e92a6/Rodrygo,2022,Real Madrid,Rodrygo,La Liga,"FW,MF",20.0,1523.0,0.24,0.21,0.19,82.9,1.0,26.0,26.0,40.0,25.0,5.0,0.0,18.0,5.0,38.0,15.0,120.0,34.0,47.0,155.0,127.0,27.0,73.0,12.0,27.9,0.65,3.84,FW,1523.0,1,wide_attacker,C,tm,110000000.0
https://fbref.com/en/players/8f5e92a6/Rodrygo,2023,Real Madrid,Rodrygo,La Liga,FW,21.0,741.0,0.36,0.52,0.44,85.9,2.0,16.0,15.0,12.0,7.0,2.0,0.0,3.0,5.0,12.0,3.0,49.0,,,,66.0,18.0,17.0,4.0,36.4,1.38,5.53,FW,741.0,1,wide_attacker,C,tm,110000000.0
https://fbref.com/en/players/a39d11bc/Armel-Bella-Kotchap,2022,Bochum,Armel Bella Kotchap,Bundesliga,DF,19.0,1768.0,0.0,0.04,0.0,78.7,1.0,39.0,3.0,28.0,36.0,114.0,0.0,64.0,11.0,104.0,24.0,18.0,11.0,8.0,19.0,2.0,1.0,173.0,58.0,74.4,0.0,0.46,DF,1768.0,1,center_back,C,fbref,
https://fbref.com/en/players/a39d11bc/Armel-Bella-Kotchap,2023,Southampton,Armel Bella Kotchap,Premier League,DF,20.0,761.0,0.0,0.08,0.01,75.0,0.0,16.0,1.0,9.0,15.0,40.0,0.0,21.0,0.0,34.0,4.0,15.0,,,,1.0,2.0,63.0,23.0,65.7,0.12,0.95,DF,761.0,1,center_back,C,fbref,
https://fbref.com/en/players/a8c19eb8/Nathan-Collins,2022,Burnley,Nathan Collins,Premier League,DF,20.0,1670.0,0.11,0.1,0.08,72.1,1.0,41.0,7.0,45.0,48.0,102.0,1.0,37.0,4.0,67.0,23.0,38.0,6.0,7.0,26.0,8.0,3.0,231.0,83.0,65.4,0.05,0.92,DF,1670.0,1,center_back,C,tm,25000000.0
https://fbref.com/en/players/a8c19eb8/Nathan-Collins,2023,Wolves,Nathan Collins,Premier League,DF,21.0,842.0,0.0,0.0,0.01,90.3,0.0,47.0,2.0,29.0,9.0,32.0,0.0,10.0,2.0,20.0,5.0,6.0,,,,1.0,5.0,49.0,13.0,56.5,0.0,0.6,DF,842.0,1,center_back,C,tm,25000000.0
https://fbref.com/en/players/afdc14d7/Nico-Williams,2021,Athletic Club,Nico Williams,La Liga,MF,18.0,57.0,0.0,0.08,0.0,55.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,3.0,4.0,4.0,2.0,6.0,1.0,100.0,0.0,0.0,MF,57.0,1,wide_attacker,C,tm,70000000.0
https://fbref.com/en/players/afdc14d7/Nico-Williams,2022,Athletic Club,Nico Williams,La Liga,MF,19.0,1337.0,0.0,0.24,0.1,71.2,5.0,16.0,16.0,38.0,24.0,4.0,0.0,12.0,8.0,35.0,15.0,88.0,27.0,38.0,116.0,76.0,41.0,94.0,11.0,42.3,0.07,2.76,MF,1337.0,1,wide_attacker,C,tm,70000000.0
https://fbref.com/en/players/afdc14d7/Nico-Williams,2023,Athletic Club,Nico Williams,La Liga,MF,20.0,897.0,0.3,0.16,0.21,72.0,7.0,9.0,17.0,19.0,11.0,3.0,0.0,3.0,3.0,12.0,5.0,41.0,,,,55.0,15.0,44.0,4.0,30.8,0.56,3.68,MF,897.0,1,wide_attacker,C,tm,70000000.0
https://fbref.com/en/players/b51b1b9c/Yunus-Musah,2021,Valencia,Yunus Musah,La Liga,MF,17.0,1530.0,0.06,0.06,0.07,74.7,3.0,10.0,9.0,17.0,32.0,18.0,0.0,8.0,5.0,31.0,11.0,37.0,29.0,41.0,77.0,77.0,27.0,96.0,18.0,42.9,0.06,1.47,MF,1530.0,1,central_mid,C,tm,25000000.0
https://fbref.com/en/players/b51b1b9c/Yunus-Musah,2022,Valencia,Yunus Musah,La Liga,"MF,FW",18.0,1259.0,0.07,0.05,0.1,73.4,5.0,25.0,10.0,30.0,19.0,11.0,0.0,14.0,13.0,39.0,9.0,43.0,36.0,32.0,73.0,61.0,28.0,69.0,19.0,42.2,0.14,1.72,MF,1259.0,1,central_mid,C,tm,25000000.0
https://fbref.com/en/players/b51b1b9c/Yunus-Musah,2023,Valencia,Yunus Musah,La Liga,MF,19.0,688.0,0.0,0.04,0.12,80.1,1.0,21.0,6.0,14.0,3.0,8.0,2.0,6.0,11.0,26.0,14.0,11.0,,,,24.0,7.0,29.0,7.0,50.0,0.26,2.62,MF,688.0,1,central_mid,C,tm,25000000.0
https://fbref.com/en/players/b94b8be1/Adil-Aouchiche,2021,Saint-Étienne,Adil Aouchiche,Ligue 1,"MF,FW",18.0,1731.0,0.1,0.17,0.3,71.8,8.0,55.0,58.0,59.0,12.0,12.0,0.0,9.0,13.0,47.0,21.0,47.0,35.0,38.0,115.0,83.0,33.0,118.0,15.0,32.6,0.42,4.89,MF,1731.0,1,wide_attacker,C,tm,10000000.0
https://fbref.com/en/players/b94b8be1/Adil-Aouchiche,2022,Saint-Étienne,Adil Aouchiche,Ligue 1,"MF,FW",19.0,1081.0,0.0,0.12,0.14,76.1,4.0,42.0,19.0,40.0,21.0,8.0,0.0,21.0,10.0,42.0,13.0,26.0,33.0,29.0,98.0,59.0,23.0,96.0,14.0,36.8,0.5,2.91,MF,1081.0,1,wide_attacker,C,tm,10000000.0
https://fbref.com/en/players/b94b8be1/Adil-Aouchiche,2023,Lorient,Adil Aouchiche,Ligue 1,MF,20.0,25.0,0.0,0.83,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,MF,25.0,1,wide_attacker,C,tm,10000000.0
https://fbref.com/en/players/bf4c41f9/Arnaud-Kalimuendo,2021,Lens,Arnaud Kalimuendo,Ligue 1,"FW,MF",18.0,1218.0,0.52,0.43,0.18,76.3,4.0,8.0,13.0,13.0,8.0,2.0,0.0,1.0,1.0,8.0,5.0,60.0,19.0,30.0,70.0,128.0,29.0,55.0,5.0,17.9,0.81,2.88,FW,1291.0,2,striker,C,tm,30000000.0
https://fbref.com/en/players/bf4c41f9/Arnaud-Kalimuendo,2022,Lens,Arnaud Kalimuendo,Ligue 1,FW,19.0,2148.0,0.42,0.35,0.07,82.4,3.0,10.0,23.0,24.0,8.0,0.0,0.0,8.0,4.0,18.0,8.0,116.0,35.0,72.0,101.0,227.0,19.0,68.0,8.0,17.0,0.17,1.97,FW,2156.0,2,striker,C,tm,30000000.0
https://fbref.com/en/players/bf4c41f9/Arnaud-Kalimuendo,2023,Rennes,Arnaud Kalimuendo,Ligue 1,FW,20.0,456.0,0.39,0.25,0.23,75.6,0.0,0.0,3.0,6.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,24.0,,,,43.0,0.0,10.0,3.0,17.6,0.24,1.41,FW,456.0,1,striker,C,tm,30000000.0
https://fbref.com/en/players/c4486bac/Michael-Olise,2022,Crystal Palace,Michael Olise,Premier League,"FW,MF",19.0,1141.0,0.16,0.16,0.32,72.5,8.0,29.0,24.0,65.0,22.0,9.0,0.0,13.0,8.0,35.0,15.0,47.0,38.0,26.0,121.0,48.0,24.0,101.0,9.0,30.0,0.55,3.0,FW,1141.0,1,wide_attacker,C,tm,130000000.0
https://fbref.com/en/players/c4486bac/Michael-Olise,2023,Crystal Palace,Michael Olise,Premier League,"MF,FW",20.0,574.0,0.0,0.1,0.23,70.6,3.0,7.0,14.0,9.0,13.0,2.0,0.0,4.0,1.0,16.0,6.0,10.0,,,,19.0,11.0,27.0,0.0,0.0,0.37,4.22,MF,574.0,1,wide_attacker,C,tm,130000000.0
https://fbref.com/en/players/c64c01fc/Georginio-Rutter,2021,Hoffenheim,Georginio Rutter,Bundesliga,"FW,MF",18.0,241.0,0.37,0.25,0.04,79.7,1.0,0.0,2.0,5.0,1.0,3.0,0.0,1.0,1.0,6.0,2.0,15.0,2.0,9.0,6.0,33.0,8.0,19.0,11.0,50.0,0.0,2.61,FW,285.0,2,striker,C,tm,32000000.0
https://fbref.com/en/players/c64c01fc/Georginio-Rutter,2022,Hoffenheim,Georginio Rutter,Bundesliga,"FW,MF",19.0,1611.0,0.45,0.44,0.23,63.9,4.0,18.0,8.0,25.0,25.0,9.0,0.0,8.0,9.0,33.0,16.0,102.0,15.0,72.0,62.0,131.0,29.0,78.0,47.0,45.2,0.34,2.18,FW,1611.0,1,striker,C,tm,32000000.0
