Url,Season_End_Year,Squad,Player,Comp,Pos,Age,Min_Playing,G_minus_PK_Per,npxG_Per,xAG_Per,Cmp_percent_Total,CrsPA,Final_Third,KP,Prog,Blocks_Blocks,Clr,Err,Int,Mid 3rd_Tackles,Tkl+Int,TklW_Tackles,Att Pen_Touches,Final_Third_Carries,Mis_Carries,Prog_Carries,Prog_Receiving,Succ_Dribbles,Recov,Won_Aerial,Won_percent_Aerial,GCA90_GCA,SCA90_SCA,prim_pos,season_total_min,n_clubs,role,tier,role_source,market_value_eur
https://fbref.com/en/players/32f60ed8/Morgan-Gibbs-White,2021,Wolves,Morgan Gibbs-White,Premier League,"MF,FW",20.0,414.0,0.22,0.17,0.09,80.9,0.0,16.0,9.0,22.0,6.0,1.0,0.0,4.0,3.0,11.0,6.0,9.0,15.0,15.0,38.0,35.0,7.0,38.0,2.0,22.2,0.22,3.7,MF,414.0,1,wide_attacker,B,tm,65000000.0
https://fbref.com/en/players/32f60ed8/Morgan-Gibbs-White,2022,Wolves,Morgan Gibbs-White,Premier League,"DF,FW",21.0,9.0,0.0,1.81,0.0,70.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,DF,9.0,1,wide_attacker,B,tm,65000000.0
https://fbref.com/en/players/32f60ed8/Morgan-Gibbs-White,2023,Nott'ham Forest,Morgan Gibbs-White,Premier League,"FW,MF",22.0,861.0,0.0,0.11,0.15,62.1,2.0,24.0,13.0,25.0,3.0,4.0,0.0,7.0,1.0,13.0,5.0,14.0,,,,48.0,10.0,39.0,12.0,30.8,0.22,3.46,FW,1041.0,2,wide_attacker,B,tm,65000000.0
https://fbref.com/en/players/40221fa7/Banzouzi-Locko,2022,Reims,Banzouzi Locko,Ligue 1,"MF,DF",19.0,1011.0,0.09,0.03,0.04,78.2,2.0,22.0,7.0,44.0,34.0,8.0,0.0,16.0,11.0,43.0,18.0,10.0,15.0,12.0,61.0,29.0,12.0,93.0,15.0,48.4,0.53,1.51,MF,1011.0,1,central_mid,B,fbref,
https://fbref.com/en/players/40221fa7/Banzouzi-Locko,2023,Reims,Banzouzi Locko,Ligue 1,DF,20.0,1048.0,0.0,0.02,0.04,76.1,3.0,36.0,7.0,32.0,16.0,21.0,0.0,18.0,4.0,45.0,14.0,5.0,,,,19.0,15.0,67.0,11.0,61.1,0.0,1.69,DF,1048.0,1,center_back,B,fbref,
https://fbref.com/en/players/4f16405e/Niclas-Fullkrug,2021,Werder Bremen,Niclas Füllkrug,Bundesliga,"FW,MF",27.0,877.0,0.41,0.35,0.02,58.3,0.0,17.0,6.0,15.0,15.0,11.0,0.0,4.0,6.0,12.0,5.0,58.0,5.0,26.0,16.0,87.0,12.0,28.0,58.0,43.0,0.21,1.85,FW,877.0,1,striker,B,tm,15000000.0
https://fbref.com/en/players/4f16405e/Niclas-Fullkrug,2023,Werder Bremen,Niclas Füllkrug,Bundesliga,FW,29.0,1069.0,0.51,0.34,0.16,60.4,0.0,24.0,15.0,39.0,7.0,13.0,0.0,0.0,1.0,2.0,1.0,47.0,,,,59.0,9.0,35.0,56.0,57.1,0.46,2.76,FW,1069.0,1,striker,B,tm,15000000.0
https://fbref.com/en/players/60359288/Javi-Sanchez,2021,Valladolid,Javi Sánchez,La Liga,DF,23.0,921.0,0.0,0.02,0.01,82.9,1.0,17.0,3.0,20.0,18.0,55.0,0.0,13.0,4.0,32.0,12.0,3.0,4.0,3.0,16.0,2.0,2.0,62.0,18.0,50.0,0.0,0.49,DF,921.0,1,center_back,B,tm,3000000.0
https://fbref.com/en/players/60359288/Javi-Sanchez,2023,Valladolid,Javi Sánchez,La Liga,DF,25.0,937.0,0.0,0.03,0.0,84.6,0.0,19.0,1.0,21.0,12.0,46.0,0.0,14.0,4.0,25.0,6.0,6.0,,,,3.0,1.0,38.0,18.0,56.3,0.21,0.32,DF,937.0,1,center_back,B,tm,3000000.0
https://fbref.com/en/players/6639e500/Andreas-Pereira,2021,Lazio,Andreas Pereira,Serie A,"FW,MF",24.0,543.0,0.17,0.1,0.25,67.9,1.0,33.0,13.0,28.0,13.0,4.0,0.0,4.0,3.0,7.0,1.0,18.0,12.0,13.0,37.0,46.0,11.0,49.0,4.0,19.0,0.33,2.82,FW,543.0,1,central_mid,B,tm,20000000.0
https://fbref.com/en/players/6639e500/Andreas-Pereira,2023,Fulham,Andreas Pereira,Premier League,MF,26.0,1063.0,0.08,0.12,0.23,62.8,2.0,31.0,27.0,23.0,11.0,3.0,0.0,3.0,4.0,11.0,5.0,19.0,,,,38.0,6.0,45.0,2.0,15.4,0.46,3.73,MF,1063.0,1,central_mid,B,tm,20000000.0
